transaction_id,date,region,country,department,product_category,product_name,customer_segment,channel,sales_rep,units_sold,unit_price,discount_pct,revenue,cost,profit,kpi_target,kpi_actual,csat_score,churn_flag,agentic_query_count,avg_query_latency_ms
1,2022-05-19,Europe,UK,Sales,Analytics Platform,MetricMind Core,Mid-Market,Partner,Rep_063,17,135.32,0,2300.44,1357.42,943.02,22647.39,21608.67,3.7,1,15,271.7
2,2026-05-09,North America,USA,Operations,AI Agents,AutoInsight,Mid-Market,Direct Sales,Rep_062,21,390.02,10,7371.38,2993.83,4377.55,10312.27,8688.06,4.7,0,16,629.9
3,2024-05-18,MEA,Saudi Arabia,Finance,Data Integration,PipeSync,Startup,Online Self-Serve,Rep_029,13,1755.08,0,22816.04,10604.91,12211.13,13188.05,14590.53,4.1,0,9,665.9
4,2022-05-18,North America,Mexico,Sales,BI Dashboards,PulseView,Enterprise,Reseller,Rep_042,10,1900.77,10,17106.93,7812.33,9294.6,16262.01,14131.73,3.4,0,18,864.4
5,2024-06-18,North America,USA,Operations,AI Agents,AgentQuery,Mid-Market,Online Self-Serve,Rep_018,12,498.1,15,5080.62,1787.09,3293.53,8060.36,9145.91,3.8,0,14,137.1
6,2025-11-22,North America,USA,Finance,AI Agents,AutoInsight,SMB,Online Self-Serve,Rep_015,25,1241.0,0,31025.0,13594.64,17430.36,15736.71,19010.12,4.9,0,17,591.6
7,2022-04-30,LATAM,Brazil,IT,Data Integration,FlowConnect,Startup,Direct Sales,Rep_032,9,267.06,0,2403.54,1190.74,1212.8,18667.0,22330.96,4.3,0,16,224.4
8,2023-03-20,MEA,UAE,Customer Success,BI Dashboards,InsightBoard,Enterprise,Reseller,Rep_077,16,1171.51,0,18744.16,7089.63,11654.53,19297.82,17006.43,4.2,0,18,637.1
9,2023-07-22,APAC,India,Operations,Reporting Suite,ReportGen,Mid-Market,Reseller,Rep_032,33,1839.78,0,60712.74,30193.33,30519.41,17866.4,14450.84,3.2,0,15,536.3
10,2026-05-19,Europe,UK,Finance,BI Dashboards,InsightBoard,SMB,Direct Sales,Rep_006,34,882.47,0,30003.98,11499.07,18504.91,13819.22,13944.12,4.4,0,13,265.2
11,2025-11-18,APAC,India,Operations,AI Agents,AutoInsight,Enterprise,Reseller,Rep_040,16,636.06,0,10176.96,5823.11,4353.85,12590.75,13588.07,3.6,0,15,463.3
12,2025-05-07,North America,Mexico,Marketing,Data Integration,PipeSync,Enterprise,Partner,Rep_041,8,1748.37,10,12588.26,5606.21,6982.05,9230.13,8654.76,4.5,1,19,638.2
13,2026-01-28,MEA,UAE,Marketing,Reporting Suite,ReportGen,SMB,Direct Sales,Rep_078,9,1247.02,0,11223.18,6683.79,4539.39,15989.08,11375.14,4.5,0,18,523.6
14,2023-03-26,Europe,UK,Finance,Analytics Platform,MetricMind Pro,SMB,Online Self-Serve,Rep_057,4,1332.63,0,5330.52,2864.75,2465.77,11471.5,13559.77,4.3,0,19,488.9
15,2022-05-26,APAC,India,Customer Success,AI Agents,AutoInsight,Startup,Online Self-Serve,Rep_040,14,272.8,0,3819.2,1509.98,2309.22,19102.05,21255.32,2.7,0,12,523.0
16,2023-06-23,North America,USA,IT,AI Agents,AutoInsight,Startup,Reseller,Rep_033,40,651.72,0,26068.8,14942.38,11126.42,21267.09,21437.66,4.3,0,20,888.0
17,2024-07-07,MEA,South Africa,Customer Success,Data Integration,FlowConnect,Startup,Direct Sales,Rep_021,7,72.97,0,510.79,272.65,238.14,22793.24,26389.13,3.2,0,11,322.7
18,2023-04-22,MEA,South Africa,Customer Success,AI Agents,AutoInsight,Enterprise,Reseller,Rep_012,24,1201.53,10,25953.05,12692.9,13260.15,8951.45,11502.72,3.2,0,17,627.0
19,2026-03-09,LATAM,Chile,Marketing,Data Integration,FlowConnect,Mid-Market,Partner,Rep_078,11,1754.61,0,19300.71,9822.64,9478.07,17796.71,15960.98,4.0,1,17,445.6
20,2022-02-23,MEA,South Africa,Sales,BI Dashboards,PulseView,Mid-Market,Partner,Rep_061,7,375.79,0,2630.53,944.28,1686.25,19710.2,19794.8,4.5,1,20,800.7
21,2022-07-26,MEA,South Africa,IT,AI Agents,AutoInsight,SMB,Online Self-Serve,Rep_046,8,1964.2,5,14927.92,8609.32,6318.6,12430.15,8730.41,4.7,0,15,484.8
22,2026-04-20,North America,Canada,Operations,BI Dashboards,PulseView,Enterprise,Reseller,Rep_012,14,856.36,0,11989.04,7158.11,4830.93,11206.72,10292.41,4.4,0,15,815.7
23,2022-08-19,Europe,Netherlands,Marketing,Data Integration,PipeSync,SMB,Online Self-Serve,Rep_017,15,117.14,0,1757.1,889.22,867.88,14509.35,15622.73,5.0,0,10,665.6
24,2024-11-04,APAC,China,Sales,Data Integration,PipeSync,Mid-Market,Reseller,Rep_075,8,1905.86,5,14484.54,6444.3,8040.24,19284.23,18707.89,3.2,0,13,737.7
25,2024-04-24,APAC,China,Marketing,BI Dashboards,InsightBoard,Enterprise,Online Self-Serve,Rep_003,2,855.46,20,1368.74,817.63,551.11,22248.74,16701.28,3.6,0,16,423.2
26,2023-12-08,North America,Canada,Finance,Reporting Suite,SnapReport,SMB,Online Self-Serve,Rep_054,25,488.67,0,12216.75,6496.22,5720.53,13909.19,10801.08,4.7,0,16,590.6
27,2024-05-31,MEA,UAE,Marketing,Analytics Platform,MetricMind Core,Startup,Partner,Rep_065,1,914.18,10,822.76,399.18,423.58,10251.41,12918.67,5.0,0,14,723.5
28,2024-09-17,APAC,India,IT,Reporting Suite,ReportGen,Startup,Direct Sales,Rep_060,10,213.66,5,2029.77,891.29,1138.48,24022.91,17026.73,4.7,0,10,260.1
29,2025-11-22,North America,Mexico,IT,Data Integration,PipeSync,Enterprise,Online Self-Serve,Rep_058,17,655.82,0,11148.94,6326.32,4822.62,18354.35,13496.04,3.5,0,14,236.3
30,2022-10-11,North America,Canada,Customer Success,Analytics Platform,MetricMind Core,SMB,Reseller,Rep_066,5,1249.83,0,6249.15,3374.11,2875.04,21328.74,17759.84,4.0,0,15,753.5
31,2024-10-22,APAC,Australia,Customer Success,Reporting Suite,SnapReport,Startup,Partner,Rep_033,43,1964.41,0,84469.63,50043.46,34426.17,19566.68,22678.35,4.1,0,11,661.8
32,2024-02-16,LATAM,Argentina,IT,Data Integration,PipeSync,Enterprise,Direct Sales,Rep_002,3,69.2,0,207.6,101.01,106.59,10606.79,7847.76,3.0,1,12,476.3
33,2022-11-27,North America,Canada,Customer Success,Analytics Platform,MetricMind Pro,Enterprise,Online Self-Serve,Rep_019,16,1699.24,0,27187.84,15772.3,11415.54,18094.74,15896.29,2.8,0,13,293.6
34,2023-12-19,North America,Canada,Customer Success,BI Dashboards,InsightBoard,SMB,Direct Sales,Rep_017,2,1089.51,0,2179.02,1152.69,1026.33,22960.35,17922.86,3.3,0,19,391.7
35,2025-08-16,LATAM,Argentina,Finance,Reporting Suite,ReportGen,Startup,Partner,Rep_062,15,1344.7,0,20170.5,11397.83,8772.67,14377.04,10243.12,2.6,0,20,207.1
36,2025-03-11,Europe,Netherlands,Operations,Data Integration,PipeSync,Enterprise,Direct Sales,Rep_030,2,504.17,0,1008.34,408.34,600.0,17186.02,14019.91,3.8,0,13,120.3
37,2023-07-23,MEA,UAE,Customer Success,AI Agents,AutoInsight,Mid-Market,Partner,Rep_075,7,1749.22,0,12244.54,5906.39,6338.15,15807.31,13383.73,4.2,0,12,424.2
38,2024-04-23,North America,Canada,Sales,AI Agents,AgentQuery,Mid-Market,Online Self-Serve,Rep_032,15,71.89,10,970.52,523.16,447.36,12942.14,14489.17,2.9,1,15,299.2
39,2024-08-21,APAC,India,IT,Reporting Suite,SnapReport,Mid-Market,Reseller,Rep_011,8,1476.29,0,11810.32,6638.86,5171.46,11867.92,11548.48,3.8,0,18,465.7
40,2025-10-29,MEA,South Africa,Operations,BI Dashboards,InsightBoard,SMB,Reseller,Rep_060,15,1771.64,0,26574.6,15250.58,11324.02,19913.18,25406.2,4.8,0,15,822.6
41,2023-01-04,APAC,Australia,Marketing,Analytics Platform,MetricMind Core,Startup,Partner,Rep_077,6,59.21,5,337.5,125.93,211.57,23116.26,21051.58,4.8,0,8,815.6
42,2022-12-25,MEA,Saudi Arabia,Sales,Data Integration,PipeSync,Enterprise,Online Self-Serve,Rep_005,7,684.42,0,4790.94,1737.42,3053.52,10621.15,10750.54,2.9,0,13,543.8
43,2023-05-09,Europe,UK,Finance,BI Dashboards,PulseView,Startup,Online Self-Serve,Rep_067,5,1941.74,0,9708.7,4177.92,5530.78,17767.91,23056.16,4.9,1,14,736.6
44,2025-10-12,North America,Canada,Marketing,BI Dashboards,InsightBoard,Mid-Market,Reseller,Rep_007,25,589.96,0,14749.0,7400.44,7348.56,23596.05,26854.07,2.8,0,12,152.5
45,2025-01-27,North America,Canada,IT,BI Dashboards,PulseView,Mid-Market,Direct Sales,Rep_045,2,1585.09,0,3170.18,1245.99,1924.19,12038.1,9671.51,2.9,0,20,265.2
46,2026-05-21,LATAM,Argentina,Marketing,Data Integration,PipeSync,Mid-Market,Online Self-Serve,Rep_035,3,1410.1,0,4230.3,1674.68,2555.62,15642.63,12834.89,4.0,0,20,734.1
47,2022-02-26,Europe,France,Customer Success,Data Integration,PipeSync,Enterprise,Partner,Rep_056,7,1746.01,0,12222.07,7245.87,4976.2,15916.96,19019.33,5.0,0,14,806.7
